Driver	Target	wilcox.p	Histotype	PMID
CDKN2A_1029_ENSG00000147889	NEK9_ENSG00000119638	0.021600446	PANCAN	
EGFR_1956_ENSG00000146648	BCR_ENSG00000186716	0.015967468	PANCAN	
EGFR_1956_ENSG00000146648	FES_ENSG00000182511	0.005430819	PANCAN	
ERBB2_2064_ENSG00000141736	ERBB2_ENSG00000141736	0.000143376	PANCAN	
ERBB2_2064_ENSG00000141736	MAP3K8_ENSG00000107968	0.004108062	PANCAN	
ERBB2_2064_ENSG00000141736	PRKCD_ENSG00000163932	0.003281261	PANCAN	
ERBB2_2064_ENSG00000141736	ERBB3_ENSG00000065361	0.011572197	PANCAN	
ERBB2_2064_ENSG00000141736	PIK3CA_ENSG00000121879	0.001238755	PANCAN	
ERBB2_2064_ENSG00000141736	JAK2_ENSG00000096968	0.007394091	PANCAN	
KRAS_3845_ENSG00000133703	MAP4K1_ENSG00000104814	0.011900573	PANCAN	
KRAS_3845_ENSG00000133703	MAPK1_ENSG00000100030	0.009413554	PANCAN	
MYC_4609_ENSG00000136997	LMTK2_ENSG00000164715	0.003765251	PANCAN	
MYC_4609_ENSG00000136997	NEK9_ENSG00000119638	0.018603197	PANCAN	
MYC_4609_ENSG00000136997	CDK4_ENSG00000135446	0.045612774	PANCAN	
MYC_4609_ENSG00000136997	CDKL5_ENSG00000008086	0.006815285	PANCAN	
MYC_4609_ENSG00000136997	DGKB_ENSG00000136267	0.063958828	PANCAN	
NF1_4763_ENSG00000196712	BRAF_ENSG00000157764	0.003423892	PANCAN	
NF1_4763_ENSG00000196712	PRKD2_ENSG00000105287	0.113638003	PANCAN	
NF1_4763_ENSG00000196712	WEE1_ENSG00000166483	0.001755328	PANCAN	
NF1_4763_ENSG00000196712	EPHB2_ENSG00000133216	0.011727135	PANCAN	
NF1_4763_ENSG00000196712	CDC42BPA_ENSG00000143776	0.018584314	PANCAN	
PIK3CA_5290_ENSG00000121879	PIK3CA_ENSG00000121879	0.00021661	PANCAN	
PIK3CA_5290_ENSG00000121879	CHEK1_ENSG00000149554	0.013971322	PANCAN	
PIK3CA_5290_ENSG00000121879	MAP3K11_ENSG00000173327	0.020095313	PANCAN	
PIK3CA_5290_ENSG00000121879	WEE1_ENSG00000166483	0.01554955	PANCAN	
PIK3CA_5290_ENSG00000121879	SGK2_ENSG00000101049	0.020916564	PANCAN	
PIK3CA_5290_ENSG00000121879	RPS6KA4_ENSG00000162302	0.071147264	PANCAN	
RB1_5925_ENSG00000139687	DYRK1A_ENSG00000157540	0.059160975	PANCAN	
SMAD4_4089_ENSG00000141646	ADCK4_ENSG00000123815	0.073888383	PANCAN	
SMAD4_4089_ENSG00000141646	CDK17_ENSG00000059758	0.043510847	PANCAN	
SMAD4_4089_ENSG00000141646	EFNB3_ENSG00000108947	0.068126966	PANCAN	
SMAD4_4089_ENSG00000141646	WEE1_ENSG00000166483	0.000422822	PANCAN	
SMAD4_4089_ENSG00000141646	CHEK1_ENSG00000149554	0.000310282	PANCAN	
SMAD4_4089_ENSG00000141646	AKT1_ENSG00000142208	0.075096883	PANCAN	
STK11_6794_ENSG00000118046	SRP72_ENSG00000174780	4.21E-05	PANCAN	
STK11_6794_ENSG00000118046	MAP3K1_ENSG00000095015	0.039729869	PANCAN	
TP53_7157_ENSG00000141510	PRKACB_ENSG00000142875	0.057288125	PANCAN	
TP53_7157_ENSG00000141510	WEE1_ENSG00000166483	0.029038932	PANCAN	
ERBB2_2064_ENSG00000141736	PIP5K1A_ENSG00000143398	0.000151342	PANCAN	
NOTCH2_4853_ENSG00000134250	C9orf96_ENSG00000260489	0.000227304	PANCAN	
NOTCH2_4853_ENSG00000134250	DGKI_ENSG00000157680	0.000287642	PANCAN	
NOTCH2_4853_ENSG00000134250	CDKL2_ENSG00000138769	0.000400311	PANCAN	
SMAD4_4089_ENSG00000141646	RIOK2_ENSG00000058729	0.000351344	PANCAN	
ERBB2_2064_ENSG00000141736	MAP2K3_ENSG00000034152	0.000379763	PANCAN	
