Driver	Target	wilcox.p	Histotype	PMID
CCND1_595_ENSG00000110092	DCK_ENSG00000156136	0.270520378	BREAST	
CCND1_595_ENSG00000110092	NUP62_ENSG00000213024	0.040370754	BREAST	
CCND1_595_ENSG00000110092	RET_ENSG00000165731	0.017320261	BREAST	
CCND1_595_ENSG00000110092	STK35_ENSG00000125834	0.110423117	BREAST	
CCND1_595_ENSG00000110092	CDK1_ENSG00000170312	0.025197169	OSTEOSARCOMA	
CDKN2A_1029_ENSG00000147889	MYLK_ENSG00000065534	0.139393939	OESOPHAGUS	
CDKN2A_1029_ENSG00000147889	NAGK_ENSG00000124357	0.012121212	OESOPHAGUS	
CDKN2A_1029_ENSG00000147889	NAGK_ENSG00000124357	0.054545455	OSTEOSARCOMA	
CDKN2A_1029_ENSG00000147889	PLK1_ENSG00000166851	0.054545455	OSTEOSARCOMA	
CDKN2A_1029_ENSG00000147889	BUB1B_ENSG00000156970	0.008080808	OSTEOSARCOMA	
CDKN2A_1029_ENSG00000147889	RIOK2_ENSG00000058729	0.076767677	OSTEOSARCOMA	
CDKN2A_1029_ENSG00000147889	CDK1_ENSG00000170312	0.025197169	OSTEOSARCOMA	
CDKN2A_1029_ENSG00000147889	NRK_ENSG00000123572	0.042424242	OESOPHAGUS	
CDKN2A_1029_ENSG00000147889	NUP62_ENSG00000213024	0.020592082	OSTEOSARCOMA	
CDKN2A_1029_ENSG00000147889	NUP62_ENSG00000213024	0.187878788	OESOPHAGUS	
CDKN2A_1029_ENSG00000147889	PRKDC_ENSG00000253729	0.107070707	OSTEOSARCOMA	
CDKN2A_1029_ENSG00000147889	SIK2_ENSG00000170145	0.036363636	OSTEOSARCOMA	
CDKN2A_1029_ENSG00000147889	TYRO3_ENSG00000092445	0.147252747	LUNG	
EGFR_1956_ENSG00000146648	FES_ENSG00000182511	0.003496503	LUNG	
ERBB2_2064_ENSG00000141736	ERBB2_ENSG00000141736	0.000919702	BREAST	
ERBB2_2064_ENSG00000141736	ERBB2_ENSG00000141736	0.054545455	OESOPHAGUS	
ERBB2_2064_ENSG00000141736	FGR_ENSG00000000938	0.115151515	OESOPHAGUS	
ERBB2_2064_ENSG00000141736	MAP3K8_ENSG00000107968	0.019523448	BREAST	
ERBB2_2064_ENSG00000141736	MAP3K8_ENSG00000107968	0.157575758	OESOPHAGUS	
ERBB2_2064_ENSG00000141736	PIKFYVE_ENSG00000115020	0.04330856	BREAST	
ERBB2_2064_ENSG00000141736	PRKCD_ENSG00000163932	0.047034214	BREAST	
ERBB2_2064_ENSG00000141736	CDK1_ENSG00000170312	0.006060606	OESOPHAGUS	
ERBB2_2064_ENSG00000141736	MASTL_ENSG00000120539	0.064409295	OESOPHAGUS	
ERBB2_2064_ENSG00000141736	NEK9_ENSG00000119638	0.012121212	OESOPHAGUS	
ERBB2_2064_ENSG00000141736	CAMK2B_ENSG00000058404	0.031088751	BREAST	
ERBB2_2064_ENSG00000141736	EPHB2_ENSG00000133216	0.115151515	OESOPHAGUS	
ERBB2_2064_ENSG00000141736	YES1_ENSG00000176105	0.003030303	OESOPHAGUS	
ERBB2_2064_ENSG00000141736	ERBB3_ENSG00000065361	0.03500172	BREAST	
ERBB2_2064_ENSG00000141736	MAPKAPK2_ENSG00000162889	0.036363636	OESOPHAGUS	
ERBB2_2064_ENSG00000141736	PIK3CA_ENSG00000121879	0.000987017	BREAST	
