sol.name	symbol	entrez	transcript
A2ML1_1_01110	A2ML1	144568	NM_144670.4;NR_046256.1
AADAC_1_11001	AADAC	13	NM_001086.2
AADAT_1_11010	AADAT	51166	NM_016228.3;NM_182662.1
AADAT_2_00101	AADAT	51166	NM_016228.3;NM_182662.1
AAK1_1_01111011111	AAK1	22848	NM_014911.3
AAK1_2_10000100000	AAK1	22848	NM_014911.3
AANAT_1_10101	AANAT	15	NM_001088.2;NM_001166579.1
AASDHPPT_1_10110	AASDHPPT	60496	NM_015423.2
AATF_1_01110	AATF	26574	NM_012138.3
ABAT_1_0110	ABAT	18	NM_000663.4;NM_001127448.1;NM_020686.5
ABCA5_1_01101	ABCA5	23461	NM_018672.3;NM_172232.2
ABCA6_1_11111	ABCA6	23460	NM_080284.2
ABCA7_1_11010	ABCA7	10347	NM_019112.3
ABCB11_1_0111	ABCB11	8647	NM_003742.2
ABCB1_1_11100	ABCB1	5243	NM_000927.4
ABCB5_1_01010	ABCB5	340273	NM_001163941.1;NM_178559.5;NM_001163942.1;NM_001163993.1
ABCB7_1_10111	ABCB7	22	NM_004299.3
ABCB9_1_1101	ABCB9	23457	NM_001243013.1;NM_001243014.1;NM_019624.3;NM_019625.3;NM_203444.3
ABCC11_1_01101	ABCC11	85320	NM_032583.3;NM_033151.3;NM_145186.2
ABCC13_1_010100	ABCC13	150000	NR_003087.1;NR_003088.1
ABCC3_1_0011	ABCC3	8714	NM_001144070.1;NM_003786.3
ABCC5_1_01100	ABCC5	10057	NM_001023587.1;NM_005688.2
ABCC8_1_11101	ABCC8	6833	NM_000352.3
ABCD2_1_01110	ABCD2	225	NM_005164.3
ABCD3_1_11011	ABCD3	5825	NM_001122674.1;NM_002858.3
ABHD10_1_01110	ABHD10	55347	NM_018394.2
ABHD11_1_1111	ABHD11	83451	NM_001145364.1;NM_148912.2;NM_148913.2;NR_026910.1;NR_026912.1
ABHD13_1_11101	ABHD13	84945	NM_032859.2
ABHD14A_1_10110	ABHD14A	25864	NM_015407.4
ABHD16A_1_11111	ABHD16A	7920	NM_001177515.1;NM_021160.2;NR_033488.1;NR_033489.1
ABHD16B_1_00111	ABHD16B	140701	NM_080622.3
ABHD2_1_11111	ABHD2	11057	NM_007011.7;NM_152924.4
ABL1_1_1110001111	ABL1	25	NM_005157.4;NM_007313.2
ABL1_2_0001100000	ABL1	25	NM_005157.4;NM_007313.2
ABL2_1_10110	ABL2	27	NM_001136000.2;NM_001136001.1;NM_001168236.1;NM_001168237.1;NM_001168238.1;NM_001168239.1;NM_005158.4;NM_007314.3
ABLIM1_1_11110	ABLIM1	3983	NM_001003407.1;NM_001003408.1;NM_002313.5;NM_006720.3
ABLIM3_1_01111	ABLIM3	22885	NM_014945.2
ABO_1_10100	ABO	28	NM_020469.2
ABP1_1_0101	ABP1	26	NM_001091.2
ABR_1_10111	ABR	29	NM_001092.4;NM_001159746.2;NM_021962.3;NR_046393.1;NR_046393.1
ACAA1_1_00101	ACAA1	30	NM_001130410.1;NM_001607.3;NR_024024.1
ACACA_1_110001101	ACACA	31	NM_198834.1;NM_198836.1;NM_198839.1;NM_198837.1;NM_198838.1;NM_198837.1;NM_198838.1
ACACB_1_11000001	ACACB	32	NM_001093.3
ACACB_2_00110010	ACACB	32	NM_001093.3
ACAD9_1_00111	ACAD9	28976	NM_014049.4;NR_033426.1
ACAD9_2_11000	ACAD9	28976	NM_014049.4;NR_033426.1
ACADL_1_10011	ACADL	33	NM_001608.3
ACAT1_1_10011	ACAT1	38	NM_000019.3
ACAT2_1_1101	ACAT2	39	NM_005891.2
ACBD3_1_11001	ACBD3	64746	NM_022735.3
ACCS_1_01010	ACCS	84680	NM_001127219.1;NM_032592.3
ACHE_1_0011	ACHE	43	NM_000665.3;NM_015831.2
ACLY_1_1111	ACLY	47	NM_001096.2;NM_198830.1
ACO1_1_00111	ACO1	48	NM_002197.2
ACO2_1_11100	ACO2	50	NM_001098.2
ACOT12_1_10111	ACOT12	134526	NM_130767.2
ACOT2_1_10111	ACOT2	10965	NM_006821.5;NR_046028.1;NR_046028.1;NR_046028.1
ACOT4_1_1001	ACOT4	122970	NM_152331.3
ACOX1_1_1111	ACOX1	51	NM_001185039.1;NM_004035.6;NM_007292.5
ACOX3_1_1110	ACOX3	8310	NM_001101667.1;NM_003501.2
ACP6_1_0111	ACP6	51205	NM_016361.3
ACRBP_1_1101	ACRBP	84519	NM_032489.2
ACR_1_1110	ACR	49	NM_001097.2
ACSL3_1_10111	ACSL3	2181	NM_004457.3;NM_203372.1
ACSL4_1_10010	ACSL4	2182	NM_004458.2;NM_022977.2
ACSL6_1_010101	ACSL6	23305	NM_001009185.2;NM_001205247.1;NM_001205248.1;NM_001205250.1;NM_001205251.1;NM_015256.3
ACSM1_1_01010	ACSM1	116285	NM_052956.2
ACSS1_1_10110	ACSS1	84532	NM_001252675.1;NM_001252676.1;NM_001252677.1;NM_032501.3
ACTB_1_1110	ACTB	60	NM_001101.3
ACTC1_1_0101	ACTC1	70	NM_005159.4
ACTL6A_1_00101	ACTL6A	86	NM_004301.3;NM_177989.2;NM_178042.2
ACTL8_1_111	ACTL8	81569	NM_030812.2
ACTN4_1_10011	ACTN4	81	NM_004924.4
ACTR2_1_10100	ACTR2	10097	NM_001005386.2;NM_005722.3
ACTR3B_1_111	ACTR3B	57180	NM_001040135.1;NM_020445.4
ACTR3_1_11100	ACTR3	10096	NM_005721.3
ACTR6_1_10010	ACTR6	64431	NM_022496.3
ACTR6_2_01001	ACTR6	64431	NM_022496.3
ACVR1_1_10100	ACVR1	90	NM_001105.4;NM_001111067.2
ACVR2B_1_1011	ACVR2B	93	NM_001106.3
ACVRL1_1_111	ACVRL1	94	NM_000020.2;NM_001077401.1
ACYP1_1_10010	ACYP1	97	NM_001107.3;NM_203488.1
ADAM12_1_00111	ADAM12	8038	NM_003474.4;NM_021641.3
ADAM17_1_010010	ADAM17	6868	NM_003183.4
ADAM21_1_01111	ADAM21	8747	NM_003813.3
ADAM22_1_10110	ADAM22	53616	NM_004194.3;NM_016351.4;NM_021721.3;NM_021722.4;NM_021723.3
ADAM23_1_11110	ADAM23	8745	NM_003812.2
ADAM28_1_10110	ADAM28	10863	NM_014265.4;NM_021777.3
ADAM29_1_00101	ADAM29	11086	NM_001130703.1;NM_001130704.1;NM_001130705.1;NM_014269.4
ADAM9_1_01110	ADAM9	8754	NM_003816.2;NR_027638.1;NR_027639.1;NR_027878.1
ADAMDEC1_1_01010	ADAMDEC1	27299	NM_001145271.1;NM_001145272.1;NM_014479.3
ADAMDEC1_2_10101	ADAMDEC1	27299	NM_001145271.1;NM_014479.3;NM_001145272.1;NM_001145272.1
ADAMTS10_1_11100	ADAMTS10	81794	NM_030957.2
ADAMTS13_1_00011	ADAMTS13	11093	NM_139025.3;NM_139026.3;NM_139027.3;NR_024514.1
ADAMTS16_1_11111	ADAMTS16	170690	NM_139056.2
ADAMTS18_1_11000	ADAMTS18	170692	NM_199355.2
ADAMTS1_1_01100	ADAMTS1	9510	NM_006988.3
ADAMTS3_1_11010	ADAMTS3	9508	NM_014243.2
ADAMTS6_1_11100111	ADAMTS6	11174	NM_197941.2
ADAMTS9_1_11111	ADAMTS9	56999	NM_182920.1
ADAMTSL4_1_11011	ADAMTSL4	54507	NM_019032.4;NM_025008.3
ADARB2_1_10101	ADARB2	105	NM_018702.3
ADAR_1_00011	ADAR	103	NM_001025107.2;NM_001111.4;NM_001193495.1;NM_015840.3;NM_015841.3
ADAT3_1_01011	ADAT3	113179	NM_138422.1
ADAT3_2_10100	ADAT3	113179	NM_138422.1
ADCK1_1_111	ADCK1	57143	NM_001142545.1;NM_020421.3
ADCK3_1_10011	ADCK3	56997	NM_020247.4
ADCK5_1_0011	ADCK5	203054	NM_174922.3
ADCY2_1_10101	ADCY2	108	NM_020546.2
ADCY3_1_11010	ADCY3	109	NM_004036.3
ADCY7_1_1110	ADCY7	113	NM_001114.3
ADCYAP1R1_1_0110	ADCYAP1R1	117	NM_001118.4;NM_001199635.1;NM_001199636.1;NM_001199637.1
ADD1_1_10100	ADD1	118	NM_001119.4;NM_014189.3;NM_014190.3;NM_176801.2
ADH1A_1_011100	ADH1A	124	NM_000667.3
ADH1B_1_01011	ADH1B	125	NM_000668.4
ADH6_1_1100	ADH6	130	NM_000672.3;NM_001102470.1
ADHFE1_1_11110	ADHFE1	137872	NM_144650.2
ADI1_1_10101	ADI1	55256	NM_018269.3
ADIPOR1_1_01001	ADIPOR1	51094	NM_015999.4;NR_046083.1
ADIPOR2_1_1011	ADIPOR2	79602	NM_024551.2
ADK_1_11011	ADK	132	NM_001123.3;NM_001202449.1;NM_001202450.1;NM_006721.3
ADNP_1_11111	ADNP	23394	NM_015339.2;NM_181442.1
ADORA1_1_10001	ADORA1	134	NM_000674.2;NM_001048230.1
ADORA3_1_0110000001	ADORA3	140	NM_001081976.1;NM_020683.6
ADORA3_2_0001101000	ADORA3	140	NM_000677.3;NM_001081976.1;NM_020683.6
ADORA3_3_1000010110	ADORA3	140	NM_000677.3;NM_001081976.1;NM_020683.6
ADPGK_1_00111	ADPGK	83440	NM_031284.4;NR_023318.1;NR_023319.1
ADPRHL1_1_00111	ADPRHL1	113622	NM_138430.3;NM_199162.1
ADPRH_1_11000	ADPRH	141	NM_001125.2
ADPRH_2_00101	ADPRH	141	NM_001125.2
ADRA1B_1_01111	ADRA1B	147	NM_000679.3
ADRA2A_1_0111	ADRA2A	150	NM_000681.3
ADRB2_1_1110	ADRB2	154	NM_000024.5
ADRB3_1_11111	ADRB3	155	NM_000025.2
ADRBK1_1_1001	ADRBK1	156	NM_001619.3
ADRM1_1_00111	ADRM1	11047	NM_007002.2;NM_175573.1
ADSL_1_0110	ADSL	158	NM_000026.2;NM_001123378.1
ADSSL1_1_1111	ADSSL1	122622	NM_152328.3;NM_199165.1
ADSS_1_01100	ADSS	159	NM_001126.3
AEBP1_1_0101	AEBP1	165	NM_001129.3
AES_1_01110	AES	166	NM_001130.5;NM_198969.1;NM_198970.1
AFF1_1_10100	AFF1	4299	NM_001166693.1;NM_005935.2
AFF4_1_01100	AFF4	27125	NM_014423.3
AFG3L1P_1_111	AFG3L1P	172	NR_003226.1;NR_003227.1;NR_003228.1
AFG3L2_1_0011	AFG3L2	10939	NM_006796.2
AFP_1_11100	AFP	174	NM_001134.1
AGAP10_1_11000111	AGAP10	653234	XM_001714786.3
AGAP2_1_10111	AGAP2	116986	NM_001122772.2;NM_014770.3
AGAP3_1_00101	AGAP3	116988	NM_031946.4;NM_001042535.1
AGAP5_1_101000111	AGAP5	729092	NM_001144000.1
AGAP5_2_010110000	AGAP5	729092	NM_001144000.1
AGAP6_1_10011	AGAP6	414189	NM_001077665.2
AGAP7_1_1110111	AGAP7	653268	NM_001077685.1
AGAP9_1_11000111	AGAP9	642517	NM_001190810.1
AGA_1_01101	AGA	175	NM_000027.3;NM_001171988.1;NR_033655.1
AGBL2_1_01011	AGBL2	79841	NM_024783.3
AGBL3_1_01010	AGBL3	340351	NM_178563.3
AGFG1_1_10001	AGFG1	3267	NM_001135187.1;NM_001135188.1;NM_001135189.1;NM_004504.4
AGPAT2_1_01100	AGPAT2	10555	NM_006412.3;NM_001012727.1
AGPAT3_1_1011	AGPAT3	56894	NM_001037553.1;NM_020132.4
AGPAT5_1_11011	AGPAT5	55326	NM_018361.3
AGPAT6_1_1101	AGPAT6	137964	NM_178819.3
AGPS_1_1011	AGPS	8540	NM_003659.3
AGTR1_1_11001	AGTR1	185	NM_000685.4;NM_004835.3;NM_009585.3;NM_031850.2;NM_032049.2
AGTRAP_1_11100	AGTRAP	57085	NM_001040197.1;NM_020350.4;NM_001040194.1;NM_001040195.1;NM_001040196.1;NM_001040194.1;NM_001040195.1;NM_001040196.1
AGXT2L1_1_11111	AGXT2L1	64850	NM_001146590.1;NM_001146627.1;NM_031279.3;NR_027474.1;NR_027475.1
AHCTF1_1_10110	AHCTF1	25909	NM_015446.4
AHCYL1_1_00111	AHCYL1	10768	NM_001242673.1;NM_001242674.1;NM_001242675.1;NM_001242676.1;NM_006621.5
AHCYL2_1_01111	AHCYL2	23382	NM_001130720.2;NM_001130722.2;NM_001130723.2;NM_015328.3
AHCY_1_1111	AHCY	191	NM_000687.2;NM_001161766.1
AHR_1_000111	AHR	196	NM_001621.4
AHR_2_110000	AHR	196	NM_001621.4
AIF1L_1_11101	AIF1L	83543	NM_001185095.1;NM_001185096.1;NM_031426.3;NR_033701.1
AIFM1_1_01111	AIFM1	9131	NM_001130846.2;NM_001130847.3;NM_004208.3;NM_145812.2;NM_145813.2
AIFM3_1_11111	AIFM3	150209	NM_001018060.2;NM_001146288.1;NM_144704.2;NR_027464.1
AIPL1_1_11100	AIPL1	23746	NM_001033054.1;NM_001033055.1;NM_014336.3
AIRE_1_01100	AIRE	326	NM_000383.2
AJAP1_1_11111	AJAP1	55966	NM_001042478.1;NM_018836.3
AK1_1_11100	AK1	203	NM_000476.2
AK2_1_1011	AK2	204	NM_001199199.1;NM_001625.3;NM_013411.4;NR_037591.1;NR_037592.1
AK3_1_110010	AK3	50808	NM_001199852.1;NM_001199853.1;NM_001199855.1;NM_001199856.1;NM_016282.3
AK8_1_1110	AK8	158067	NM_152572.2
AKAP10_1_1101	AKAP10	11216	NM_007202.2
AKAP14_1_111	AKAP14	158798	NM_001008534.1;NM_178813.5;NM_001008535.1
AKAP3_1_1011	AKAP3	10566	NM_006422.2
AKAP8_1_1100	AKAP8	10270	NM_005858.3
AKAP9_1_1110	AKAP9	10142	NM_005751.4;NM_147185.2
AKIP1_1_11101	AKIP1	56672	NM_001206646.1;NM_001206647.1;NM_001206648.1;NM_020642.3;NR_045417.1;NR_045418.1
AKNA_1_10100	AKNA	80709	NM_030767.4
AKR1A1_1_11111	AKR1A1	10327	NM_001202413.1;NM_001202414.1;NM_006066.3;NM_153326.2
AKR1B10_1_0110000	AKR1B10	57016	NM_020299.4
AKR1B1_1_11111	AKR1B1	231	NM_001628.2
AKR1C3_1_11101	AKR1C3	8644	NM_001253908.1;NM_001253909.1;NM_003739.5
AKR1D1_1_11111	AKR1D1	6718	NM_001190906.1;NM_001190907.1;NM_005989.3
AKR1E2_1_00111	AKR1E2	83592	NM_001040177.1
AKR1E2_2_11000	AKR1E2	83592	NM_001040177.1
AKR7A2P1_1_11	AKR7A2P1	246182	NR_002796.2
AKR7A2_1_110111110	AKR7A2	8574	NM_003689.3
AKR7A3_1_0001001	AKR7A3	22977	NM_012067.2
AKR7A3_2_0000110	AKR7A3	22977	NM_012067.2
AKR7L_1_00010010	AKR7L	246181	NR_040288.1;NR_040289.1
AKR7L_2_00001101	AKR7L	246181	NR_040288.1;NR_040289.1
AKT1_1_11011111	AKT1	207	NM_001014431.1;NM_001014432.1;NM_005163.2
AKT2_1_10001100	AKT2	208	NM_001243027.1;NM_001243028.1;NM_001626.4
AKT3_1_11111110011111	AKT3	10000	NM_001206729.1;NM_005465.4;NM_181690.2
ALAS1_1_11000	ALAS1	211	NM_000688.5;NM_199166.2
ALDH1A1_1_1011	ALDH1A1	216	NM_000689.4
ALDH1A3_1_00111	ALDH1A3	220	NM_000693.2
ALDH1B1_1_111	ALDH1B1	219	NM_000692.4
ALDH2_1_11110	ALDH2	217	NM_000690.3;NM_001204889.1
ALDH3B1_1_110000	ALDH3B1	221	NM_000694.2;NM_001030010.1;NM_001161473.1
ALDH3B2_1_111	ALDH3B2	222	NM_000695.3;NM_001031615.1
ALDH7A1_1_11001	ALDH7A1	501	NM_001182.4;NM_001201377.1;NM_001202404.1
ALDH8A1_1_1011	ALDH8A1	64577	NM_001193480.1;NM_022568.3;NM_170771.2
ALDH9A1_1_10101	ALDH9A1	223	NM_000696.3
ALDH9A1_2_01010	ALDH9A1	223	NM_000696.3
ALDOA_1_1100	ALDOA	226	NM_000034.3;NM_001127617.2;NM_001243177.1;NM_184041.2;NM_184043.2
ALDOC_1_00111	ALDOC	230	NM_005165.2
ALG10B_1_01111111	ALG10B	144245	NM_001013620.3
ALG12_1_1010	ALG12	79087	NM_024105.3
ALG13_1_11010	ALG13	79868	NM_001039210.3;NM_001099922.2;NM_001168385.1;NM_018466.4;NR_033124.1;NR_033125.1;NR_033127.1;NR_033128.1;NR_033129.1;NR_033131.1;NR_033134.1;NR_033132.1;NR_033132.1
ALG1L2_1_1011111110	ALG1L2	644974	NM_001136152.1
ALG1L_1_10110011	ALG1L	200810	NM_001015050.2;NM_001195223.1
ALG1_1_1001000000	ALG1	56052	NM_019109.4
ALG1_2_0010111100	ALG1	56052	NM_019109.4
ALG1_3_0100000001	ALG1	56052	NM_019109.4
ALG5_1_01110	ALG5	29880	NM_001142364.1;NM_013338.4
ALG6_1_11010	ALG6	29929	NM_013339.3
ALG6_2_00101	ALG6	29929	NM_013339.3
ALG8_1_11100	ALG8	79053	NM_001007027.2;NM_024079.4
ALKBH7_1_1101	ALKBH7	84266	NM_032306.3
ALPPL2_1_10101	ALPPL2	251	NM_031313.2
ALS2CL_1_0111	ALS2CL	259173	NM_001190707.1;NM_147129.3;NM_182775.2;NR_033815.1
ALX3_1_1010	ALX3	257	NM_006492.2
ALX4_1_1100	ALX4	60529	NM_021926.3
ALYREF_1_0101	ALYREF	10189	NM_005782.3
AMD1_1_111	AMD1	262	NM_001033059.1;NM_001634.4
AMDHD1_1_10110	AMDHD1	144193	NM_152435.2
AMDHD2_1_1111	AMDHD2	51005	NM_001145815.1;NM_015944.3
AMELX_1_11111	AMELX	265	NM_001142.2;NM_182680.1;NM_182681.1
AMPD3_1_10101	AMPD3	272	NM_000480.2;NM_001025389.1;NM_001025390.1;NM_001172430.1;NM_001172431.1
AMY1A_1_00110111111	AMY1A	276	NM_001008221.1;NM_004038.3
AMY1B_1_00110111111	AMY1B	277	NM_001008218.1
AMY1C_1_00110111111	AMY1C	278	NM_001008219.1
AMY2A_1_00011010011	AMY2A	279	NM_000699.2
